epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3025,1.54364,3.2063,1.82097,0.7104,0.23905,0.38452,0.20907,1.28384,2.54233,1.71949,0.000365704,0.000365704,0.000365704
2,22.6523,1.4669,2.53081,1.73346,0.65988,0.39427,0.45703,0.23756,1.48565,2.01563,1.72475,0.000728751,0.000728751,0.000728751
3,32.8615,1.46376,2.36491,1.74209,0.49527,0.26032,0.19908,0.07832,2.05825,2.84339,2.42978,0.00108446,0.00108446,0.00108446
4,42.7545,1.47353,2.31908,1.73926,0.86313,0.30635,0.42418,0.18368,1.75015,4.12739,2.22303,0.001078,0.001078,0.001078
5,52.7078,1.49169,2.21877,1.74835,0.4075,0.45084,0.44323,0.2412,1.51805,2.17906,1.80552,0.001067,0.001067,0.001067
6,62.5195,1.4499,2.16092,1.72434,0.74336,0.47609,0.57035,0.34685,1.18607,1.81777,1.56998,0.00105601,0.00105601,0.00105601
7,72.2288,1.43215,2.06732,1.68537,0.55565,0.65434,0.58952,0.32613,1.40753,1.65262,1.67637,0.00104501,0.00104501,0.00104501
8,82.0336,1.43875,2.06455,1.67534,0.68681,0.4137,0.53719,0.29091,1.76807,1.7908,2.13431,0.00103401,0.00103401,0.00103401
9,92.3157,1.38515,1.97248,1.62489,0.51332,0.60713,0.62292,0.39745,1.311,1.52629,1.67017,0.00102301,0.00102301,0.00102301
10,102.596,1.38233,1.91064,1.63187,0.52134,0.66923,0.63675,0.35693,1.41488,1.49101,1.71825,0.00101201,0.00101201,0.00101201
11,113.555,1.3407,1.85846,1.61704,0.4824,0.56264,0.55768,0.28178,1.60912,1.66537,1.89565,0.00100101,0.00100101,0.00100101
12,124.906,1.36413,1.79227,1.61212,0.52978,0.64921,0.58212,0.30643,1.75394,1.44309,2.09483,0.000990012,0.000990012,0.000990012
13,132.848,1.34421,1.72491,1.59982,0.70784,0.66901,0.72525,0.45711,1.29093,1.31506,1.55582,0.000979013,0.000979013,0.000979013
14,140.688,1.33638,1.75661,1.60161,0.58684,0.79663,0.69836,0.36733,1.65079,1.33038,1.89076,0.000968014,0.000968014,0.000968014
15,148.245,1.2889,1.69197,1.5578,0.50807,0.70053,0.63071,0.36259,1.55889,1.35528,1.83968,0.000957015,0.000957015,0.000957015
16,155.918,1.2936,1.61789,1.57325,0.51459,0.73693,0.67661,0.39384,1.41386,1.1706,1.67196,0.000946016,0.000946016,0.000946016
17,163.549,1.26108,1.59344,1.54238,0.62497,0.82067,0.73433,0.44569,1.41134,1.15216,1.67536,0.000935018,0.000935018,0.000935018
18,171.166,1.28768,1.63553,1.567,0.80109,0.62283,0.7134,0.41621,1.4482,1.32657,1.68103,0.000924019,0.000924019,0.000924019
19,178.918,1.24316,1.58069,1.53174,0.63401,0.78769,0.74591,0.46953,1.32911,1.18012,1.62101,0.00091302,0.00091302,0.00091302
20,186.616,1.29399,1.61614,1.55441,0.59343,0.68447,0.67357,0.41561,1.2531,1.3142,1.56434,0.000902021,0.000902021,0.000902021
21,194.385,1.25126,1.55279,1.52956,0.56834,0.86192,0.74406,0.46388,1.28288,1.17956,1.57514,0.000891022,0.000891022,0.000891022
22,203.008,1.27916,1.60467,1.55295,0.58374,0.71507,0.67644,0.41275,1.42377,1.16858,1.71361,0.000880023,0.000880023,0.000880023
23,211.097,1.24501,1.49762,1.53355,0.91109,0.6357,0.71933,0.42979,1.44455,1.09514,1.72312,0.000869024,0.000869024,0.000869024
24,218.981,1.22906,1.43421,1.5075,0.78288,0.71265,0.71618,0.42677,1.33515,1.14087,1.62628,0.000858025,0.000858025,0.000858025
25,226.836,1.19475,1.41961,1.47808,0.64047,0.84462,0.73553,0.42103,1.35486,1.04165,1.65078,0.000847026,0.000847026,0.000847026
26,234.666,1.25069,1.58069,1.5289,0.55076,0.74991,0.68979,0.37177,1.53805,1.11341,1.86843,0.000836027,0.000836027,0.000836027
27,242.439,1.20072,1.42547,1.51019,0.6147,0.7984,0.69574,0.38088,1.62563,1.16143,1.85632,0.000825029,0.000825029,0.000825029
28,250.323,1.24548,1.48601,1.52722,0.67294,0.74923,0.72994,0.37764,1.56715,1.03989,1.82242,0.00081403,0.00081403,0.00081403
29,258.056,1.18647,1.38262,1.47709,0.74346,0.7206,0.75621,0.39256,1.70466,1.07269,2.02424,0.000803031,0.000803031,0.000803031
30,265.867,1.14251,1.34327,1.45886,0.80678,0.67605,0.75559,0.44914,1.40465,1.05211,1.63193,0.000792032,0.000792032,0.000792032
31,273.762,1.15536,1.32368,1.45788,0.67043,0.7374,0.7441,0.43925,1.43596,0.99971,1.68806,0.000781033,0.000781033,0.000781033
32,281.351,1.18563,1.35216,1.47358,0.5677,0.73956,0.64907,0.38179,1.42328,1.1648,1.68366,0.000770034,0.000770034,0.000770034
33,289.118,1.17086,1.32373,1.47958,0.85744,0.65363,0.72454,0.40805,1.55822,1.17581,1.85851,0.000759035,0.000759035,0.000759035
34,297.109,1.16304,1.30297,1.46949,0.59402,0.69956,0.69923,0.41995,1.43844,1.2154,1.67741,0.000748036,0.000748036,0.000748036
